name,ring,quadrant,FALSE,description
NestJS,Adopt,languages-and-frameworks,FALSE,
VueJS,Adopt,languages-and-frameworks,FALSE,
NuxtJS,Adopt,languages-and-frameworks,FALSE,
Vuex,Adopt,languages-and-frameworks,FALSE,
NPM,Adopt,Platforms,FALSE,
Cypress Component Testing,Assess,languages-and-frameworks,FALSE,
Feature Sliced Design,Assess,Techniques,FALSE,
SASS,Adopt,languages-and-frameworks,FALSE,
JavaScript,Adopt,languages-and-frameworks,FALSE,
TypeScript,Adopt,languages-and-frameworks,FALSE,
PostgreSQL,Adopt,languages-and-frameworks,FALSE,
Adminer,Adopt,Tools,FALSE,
YouTrack,Adopt,Tools,FALSE,
WebStorm IDE,Adopt,Tools,FALSE,
VSCode,Adopt,Tools,FALSE,
GIT,Adopt,Platforms,FALSE,
SourceTree,Adopt,Tools,FALSE,
GitLab,Adopt,Tools,FALSE,
Webpack,Adopt,Platforms,FALSE,
Bookstack,Adopt,Platforms,FALSE,
NodeJS,Adopt,languages-and-frameworks,FALSE,
PHP,Assess,languages-and-frameworks,FALSE,
MySQL,Assess,languages-and-frameworks,FALSE,
C#,Trial,languages-and-frameworks,FALSE,
.Net Core,Trial,languages-and-frameworks,FALSE,
Postman,Adopt,Tools,FALSE,
pgAdmin,Adopt,Tools,FALSE,
Passbolt,Trial,Tools,FALSE,
Micro frontends,Assess,Techniques,FALSE,
ReactJS,Trial,languages-and-frameworks,FALSE,
NextJS,Trial,languages-and-frameworks,FALSE,
Next PWA,Trial,languages-and-frameworks,FALSE,
Selectel Object Storage,Trial,Platforms,FALSE,
ESLint,Adopt,Platforms,FALSE,
Redux,Trial,languages-and-frameworks,FALSE,
Docker,Adopt,Platforms,FALSE,
Docker Compose,Adopt,Platforms,FALSE,
Nginx,Adopt,Platforms,FALSE,
Prometheus,Adopt,Platforms,FALSE,
GitLab Registry,Adopt,Platforms,FALSE,
Shell Scripting,Trial,languages-and-frameworks,FALSE,
Ansible,Adopt,Platforms,FALSE,
Redis,Trial,languages-and-frameworks,FALSE,
Elasticsearch,Assess,languages-and-frameworks,FALSE,
Grafana,Trial,Platforms,FALSE,
Swagger,Adopt,Tools,FALSE,
Sentry,Adopt,Tools,FALSE,
RabbitMQ,Adopt,Platforms,FALSE,
MongoDB,Trial,languages-and-frameworks,FALSE,
Selenium,Assess,Platforms,FALSE,
OpenAPI 3.0,Adopt,Techniques,FALSE,
Dart,Adopt,languages-and-frameworks,FALSE,
Flutter,Adopt,languages-and-frameworks,FALSE,
React Native,Hold,languages-and-frameworks,FALSE,
Parse Platform,Hold,languages-and-frameworks,FALSE,
Socket IO,Adopt,languages-and-frameworks,FALSE,
Apache Benchmark,Assess,Tools,FALSE,
Apache JMeter,Assess,Tools,FALSE,
Locust,Assess,Tools,FALSE,
Python,Assess,languages-and-frameworks,FALSE,
Vuetify,Adopt,languages-and-frameworks,FALSE,
MUI,Trial,languages-and-frameworks,FALSE,
PlantUML,Assess,Techniques,FALSE,
GraphQL,Hold,languages-and-frameworks,FALSE,
gRPC,Hold,languages-and-frameworks,FALSE,
Test Flight,Adopt,Tools,FALSE,
Express,Trial,languages-and-frameworks,FALSE,
Moment.js,Adopt,languages-and-frameworks,FALSE,
Storybook,Assess,Platforms,FALSE,
Vuepress,Trial,Platforms,FALSE,
Babel,Adopt,Platforms,FALSE,
Figma,Adopt,Tools,FALSE,
Continious Delivery,Trial,Techniques,FALSE,
Continious Inegration,Trial,Techniques,FALSE,
Conventional Commits,Trial,Techniques,FALSE,
Feature Toggle,Trial,Techniques,FALSE,
Microservices,Trial,Techniques,FALSE,
Monorepo,Adopt,Techniques,FALSE,
Github Flow,Adopt,Techniques,FALSE,
Server Side Rendering,Hold,Techniques,FALSE,
Semantic Release,Adopt,Techniques,FALSE,
Web Performance,Assess,Techniques,FALSE,
Trunk Based Development,Assess,Techniques,FALSE,
Backend for Frontend,Trial,Techniques,FALSE,
Snapshot testing,Assess,Techniques,FALSE,
